lm_feature_code,description,lm_system,lm_vendor
79400SFTIMASIB5_F,Autodesk Softimage SIBatch5 Package,flexlm,adskflex
79500MOBPRO_2010_0F,Autodesk MotionBuilder 2010,flexlm,adskflex
79600EMS_2010_0F,Autodesk Education Master Suite 2010,flexlm,adskflex
79700EMS_F,Autodesk Education Master Suite Package,flexlm,adskflex
79800ESAE_2010_0F,Autodesk Education Suite for Architecture and Engineering 2010,flexlm,adskflex
79900ESAE_F,Autodesk Education Suite for Architecture and Engineering Package,flexlm,adskflex
80000ACDDS_2010_0F,AutoCAD Visualization Suite 2010,flexlm,adskflex
80100ACDDS_F,AutoCAD Visualization Suite Package,flexlm,adskflex
80200DES_ACA_2010_0F,Autodesk Design Academy 2010,flexlm,adskflex
80300DES_ACA_F,Autodesk Design Academy Package,flexlm,adskflex
80400ESID_2010_0F,Autodesk Education Suite for Industrial Design 2010,flexlm,adskflex
80500ESID_F,Autodesk Education Suite for Industrial Design Package,flexlm,adskflex
80700ESME_2010_0F,Autodesk Education Suite for Mechanical Engineering 2010,flexlm,adskflex
80800ESME_F,Autodesk Product Design Suite for Education Package,flexlm,adskflex
80900ESCSE_2010_0F,Autodesk Education Suite for Civil and Structural Engineering 2010,flexlm,adskflex
81000ESCSE_F,Autodesk Education Suite for Civil and Structural Engineering Package,flexlm,adskflex
81200ESSISD_F,Education Solution Set Civil & Geospatial Package,flexlm,adskflex
81400ESSMFG_F,Education Solution Set Mechanical Engineering Package,flexlm,adskflex
81500RAVS_2010_0F,AutoCAD Revit Architecture Visualization Suite 2010,flexlm,adskflex
81600RAVS_F,AutoCAD Revit Architecture Visualization Suite Package,flexlm,adskflex
81700MAYACPMR_2010_0F,Autodesk Maya Complete 2010 Mental Ray,flexlm,adskflex
81700MAYACP_2010_0F,Autodesk Maya Complete 2010,flexlm,adskflex
81800MAYAULFS_2010_0F,Autodesk Maya Unlimited 2010 Fluid Simulation,flexlm,adskflex
81800MAYAULMR_2010_0F,Autodesk Maya Unlimited 2010 Mental Ray,flexlm,adskflex
81800MAYAUL_2010_0F,Autodesk Maya Unlimited 2010,flexlm,adskflex
81900ACDLTC_F,AutoCAD LT Civil Suite Package,flexlm,adskflex
81900ACDLTC_T_F,Autodesk AutoCAD LT Civil Suite,flexlm,adskflex
82000BDFBS_2010_0F,Autodesk Building Fabrication Suite 2010,flexlm,adskflex
82100BDFBS_F,Autodesk Building Fabrication Suite Package,flexlm,adskflex
82200STRDET_2010_0F,AutoCAD Structural Detailing 2010,flexlm,adskflex
82300STRDET_F,AutoCAD Structural Detailing Package,flexlm,adskflex
82400RVTMPB_2010_0F,Autodesk Revit MEP-B 2010,flexlm,adskflex
82500RVTMPB_F,Autodesk Revit MEP-B Package,flexlm,adskflex
82700NWMMAN_2010_0F,Autodesk Navisworks Manufacturing Manage 2010,flexlm,adskflex
82800NWMMAN_F,Autodesk Navisworks Manufacturing Manage Package,flexlm,adskflex
82900NWMSIM_2010_0F,Autodesk Navisworks Manufacturing Simulate 2010,flexlm,adskflex
83000NWMSIM_F,Autodesk Navisworks Manufacturing Simulate Package,flexlm,adskflex
83100NWMREV_2010_0F,Autodesk Navisworks Manufacturing Review 2010,flexlm,adskflex
83200NWMREV_F,Autodesk Navisworks Manufacturing Review Package,flexlm,adskflex
83300INVAR_2010_0F,Autodesk Inventor Automation Runtime 2010,flexlm,adskflex
83400T1MF_2010_0F,T1 Enterprise Multi-flex 2010,flexlm,adskflex
83600INVAR_F,Autodesk Inventor Automation Runtime Package,flexlm,adskflex
83800HKMF_F,Architecture Multi-flex Package,flexlm,adskflex
83900MBXPRO_2010_0F,Autodesk Mudbox 2010,flexlm,adskflex
84000SFTIM_2010_0F,Autodesk Softimage 2010,flexlm,adskflex
84100SFTIMASIB1_2010_0F,Autodesk Softimage 2010 SIBatch1,flexlm,adskflex
84100SFTIMASIB2_2010_0F,Autodesk Softimage 2010 SIBatch2,flexlm,adskflex
84100SFTIMASIB3_2010_0F,Autodesk Softimage 2010 SIBatch3,flexlm,adskflex
84100SFTIMASIB4_2010_0F,Autodesk Softimage 2010 SIBatch4,flexlm,adskflex
84100SFTIMASIB5_2010_0F,Autodesk Softimage 2010 SIBatch5,flexlm,adskflex
84300FRDES_F,Autodesk Face Robot Designer Package,flexlm,adskflex
84500FRANIM_F,Autodesk Face Robot Animator Package,flexlm,adskflex
84600ACDLT_2010_0F,AutoCAD LT 2010,flexlm,adskflex
84700ACDLT_F,AutoCAD LT Package,flexlm,adskflex
84700ACDLT_T_F,Autodesk AutoCAD LT,flexlm,adskflex
84800AUTOST_2011_0F,Autodesk Alias Automotive 2011,flexlm,adskflex
84900AUTOST_F,Autodesk Alias Automotive Package,flexlm,adskflex
85000DESNST_2011_0F,Autodesk Alias Design 2011,flexlm,adskflex
85100DESNST_F,Autodesk Alias Design Package,flexlm,adskflex
85100DESNST_T_F,Autodesk Alias Design,flexlm,adskflex
85200SURFST_2011_0F,Autodesk Alias Surface 2011,flexlm,adskflex
85300SURFST_F,Autodesk Alias Surface Package,flexlm,adskflex
85300SURFST_T_F,Autodesk Alias Surface,flexlm,adskflex
85400MAYAMFS_2010_0F,Autodesk Maya 2010 Fluid Simulation,flexlm,adskflex
85400MAYAMMR1_2010_0F,Autodesk Maya 2010 Mental Ray 1,flexlm,adskflex
85400MAYAMMR2_2010_0F,Autodesk Maya 2010 Mental Ray 2,flexlm,adskflex
85400MAYAMMR3_2010_0F,Autodesk Maya 2010 Mental Ray 3,flexlm,adskflex
85400MAYAMMR4_2010_0F,Autodesk Maya 2010 Mental Ray 4,flexlm,adskflex
85400MAYAMMR5_2010_0F,Autodesk Maya 2010 Mental Ray 5,flexlm,adskflex
85400MAYAMMR_2010_0F,Autodesk Maya 2010 Mental Ray,flexlm,adskflex
85400MAYA_2010_0F,Maya 2010,flexlm,adskflex
85500MXECS_2010_0F,Autodesk 3ds Max Entertainment Creation Suite 2010,flexlm,adskflex
855013DSMAX_2011_0F,Autodesk 3ds Max 2011,flexlm,adskflex
855023DSMAX_F,Autodesk 3ds Max Package,flexlm,adskflex
85503MAXDES_2011_0F,Autodesk 3ds Max Design 2011,flexlm,adskflex
85504MAXDES_F,Autodesk 3ds Max Design Package,flexlm,adskflex
85507ASMES_2010_0F,Autodesk Algor Simulation MES 2010,flexlm,adskflex
85508ASPRO_2010_0F,Autodesk Algor Simulation Professional 2010,flexlm,adskflex
85510MYRTAS_F,Autodesk Maya Real-Time Animation Suite Package,flexlm,adskflex
85511MYECS_2010_0F,Autodesk Maya Entertainment Creation Suite 2010,flexlm,adskflex
85512MYECS_F,Autodesk Maya Entertainment Creation Suite Standard,flexlm,adskflex
85514MXRTAS_F,Autodesk 3ds Max Real-Time Animation Suite Package,flexlm,adskflex
85516SIRTAS_F,Autodesk Softimage Real-Time Animation Suite Package,flexlm,adskflex
85518SIECS_F,Autodesk Softimage Entertainment Creation Suite Standard Package,flexlm,adskflex
85520ESEC_F,Autodesk Education Suite for Entertainment Creation Package,flexlm,adskflex
85522AAA_F,Autodesk Animation Academy Package,flexlm,adskflex
85523ALGSIM_F,Autodesk Simulation Mechanical Express Package,flexlm,adskflex
85524ASCFD_F,Autodesk Algor Simulation CFD Package,flexlm,adskflex
85525ASMES_F,Autodesk Algor Simulation MES Package,flexlm,adskflex
85526ASPRO_F,Autodesk Algor Simulation Professional Package,flexlm,adskflex
85527MAYA_F,Autodesk Maya,flexlm,adskflex
85529MAYAMFS_F,Autodesk Maya Fluid Simulation Package,flexlm,adskflex
85530MAYAMMR_F,Autodesk Maya Mental Ray Package,flexlm,adskflex
85531MAYAMMR1_F,Autodesk Maya Mental Ray 1 Package,flexlm,adskflex
85536ACD_2011_0F,AutoCAD 2011,flexlm,adskflex
85536ACD_2011_0P,AutoCAD 2011 Pre-Release,flexlm,adskflex
85537MAYAMFS_2011_0F,Autodesk Maya 2011 Fluid Simulation,flexlm,adskflex
85537MAYAMFS_F,Autodesk Maya Fluid Simulation,flexlm,adskflex
85537MAYAMMR1_2011_0F,Autodesk Maya 2011 Mental Ray 1,flexlm,adskflex
85537MAYAMMR1_F,Autodesk Maya Mental Ray 1 Package,flexlm,adskflex
85537MAYAMMR2_2011_0F,Autodesk Maya 2011 Mental Ray 2,flexlm,adskflex
85537MAYAMMR2_F,Autodesk Maya Mental Ray 2 Package,flexlm,adskflex
85537MAYAMMR3_2011_0F,Autodesk Maya 2011 Mental Ray 3,flexlm,adskflex
85537MAYAMMR3_F,Autodesk Maya Mental Ray 3 Package,flexlm,adskflex
85537MAYAMMR4_2011_0F,Autodesk Maya 2011 Mental Ray 4,flexlm,adskflex
85537MAYAMMR4_F,Autodesk Maya Mental Ray 4 Package,flexlm,adskflex
85537MAYAMMR5_2011_0F,Autodesk Maya 2011 Mental Ray 5,flexlm,adskflex
85537MAYAMMR5_F,Autodesk Maya Mental Ray 5 Package,flexlm,adskflex
85537MAYAMMR_2011_0F,Autodesk Maya 2011 Mental Ray,flexlm,adskflex
85537MAYAMMR_F,Autodesk Maya Mental Ray Package,flexlm,adskflex
85537MAYA_2011_0F,Autodesk Maya 2011,flexlm,adskflex
85538ACAD_E_2011_0F,AutoCAD Electrical 2011,flexlm,adskflex
85541RVTMPB_2011_0F,Autodesk Revit MEP-B 2011,flexlm,adskflex
85543REVITST_2011_0F,Autodesk Revit Structure 2011,flexlm,adskflex
85545AMECH_PP_2011_0F,AutoCAD Mechanical 2011,flexlm,adskflex
85550PCOFFI_2011_0F,Autodesk Productstream Professional Office 2011,flexlm,adskflex
85552MAPGE_2011_0F,Autodesk MapGuide Enterprise 2011,flexlm,adskflex
85554MOBPRO_2011_0F,Autodesk MotionBuilder 2011,flexlm,adskflex
85555ACDLT_2011_0F,AutoCAD LT 2011,flexlm,adskflex
85557MAP_2011_0F,AutoCAD Map 3D 2011,flexlm,adskflex
85559TOPOBSCLNT_2011_0F,Autodesk Topobase Client 2011,flexlm,adskflex
85560TOPOBSWEB_2011_0F,Autodesk Topobase Web 2011,flexlm,adskflex
85561ARCHDESK_2011_0F,AutoCAD Architecture 2011,flexlm,adskflex
85562BLDSYS_2011_0F,AutoCAD MEP 2011,flexlm,adskflex
85563SFTIMSIB1_2011_0F,Autodesk Softimage 2011 SIBatch1,flexlm,adskflex
85563SFTIMSIB2_2011_0F,Autodesk Softimage 2011 SIBatch2,flexlm,adskflex
85563SFTIMSIB3_2011_0F,Autodesk Softimage 2011 SIBatch3,flexlm,adskflex
85563SFTIMSIB4_2011_0F,Autodesk Softimage 2011 SIBatch4,flexlm,adskflex
85563SFTIMSIB5_2011_0F,Autodesk Softimage 2011 SIBatch5,flexlm,adskflex
85563SFTIM_2011_0F,Autodesk Softimage 2011,flexlm,adskflex
85567INVPRO_2011_0F,AutoCAD Inventor Professional Suite 2011,flexlm,adskflex
85569INVPRORS_2011_0F,AutoCAD Inventor Routed Systems Suite 2011,flexlm,adskflex
85571INVPROSIM_2011_0F,AutoCAD Inventor Simulation Suite 2011,flexlm,adskflex
85573INVBUN_2011_0F,AutoCAD Inventor Suite 2011,flexlm,adskflex
85575INVMFG_2011_0F,AutoCAD Inventor Tooling Suite 2011,flexlm,adskflex
85576INVMFG_F,AutoCAD Inventor Tooling Suite Package,flexlm,adskflex
85577INVNTOR_2010_0F,Autodesk Inventor 2010,flexlm,adskflex
85578INVNTOR_F,Autodesk Inventor Package,flexlm,adskflex
85578INVNTOR_T_F,Autodesk Inventor,flexlm,adskflex
85579INVNTOR_2011_0F,Autodesk Inventor 2011,flexlm,adskflex
85580MBXPRO_2011_0F,Autodesk Mudbox 2011,flexlm,adskflex
85581ECSCAD_2011_0F,AutoCAD ecscad 2011,flexlm,adskflex
85583LDXSP_2011_0F,Autodesk LandXplorer Studio Professional 2011,flexlm,adskflex
85584LDXSP_F,Autodesk Infrastructure Modeler Package,flexlm,adskflex
85585RSA_2011_0F,Autodesk Robot Structural Analysis 2011,flexlm,adskflex
85586RSAPRO_2011_0F,Autodesk Robot Structural Analysis Professional 2011,flexlm,adskflex
85587REVIT_2011_0F,Autodesk Revit Architecture 2011,flexlm,adskflex
85588VLTM_2011_0F,Autodesk Vault Professional 2011,flexlm,adskflex
85589VLTM_F,Autodesk Vault Professional Package,flexlm,adskflex
85590ALGSIM_2011_0F,Autodesk Algor Simulation 2011,flexlm,adskflex
85591ASCFD_2011_0F,Autodesk Algor Simulation CFD 2011,flexlm,adskflex
85592ASMES_2011_0F,Autodesk Algor Simulation MES 2011,flexlm,adskflex
85593ASPRO_2011_0F,Autodesk Algor Simulation Professional 2011,flexlm,adskflex
85594REVSU_2011_0F,AutoCAD Revit Structure Suite 2011,flexlm,adskflex
85595STRDET_2011_0F,AutoCAD Structural Detailing 2011,flexlm,adskflex
85596VLTWG_2011_0F,Autodesk Vault Workgroup 2011,flexlm,adskflex
85597VLTWG_F,Autodesk Vault Workgroup Package,flexlm,adskflex
85598VLTC_2011_0F,Autodesk Vault Collaboration 2011,flexlm,adskflex
85599VLTC_F,Autodesk Vault Collaboration Package,flexlm,adskflex
85600MXECS_F,Autodesk 3ds Max Entertainment Creation Suite Standard Package,flexlm,adskflex
85600NAVMAN_2011_0F,Autodesk Navisworks Manage 2011,flexlm,adskflex
85601NAVSIM_2011_0F,Autodesk Navisworks Simulate 2011,flexlm,adskflex
85602PLNT3D_2011_0F,AutoCAD Plant 3D 2011,flexlm,adskflex
85603PNID_2011_0F,AutoCAD P&ID 2011,flexlm,adskflex
85604CIV3D_2011_0F,AutoCAD Civil 3D 2011,flexlm,adskflex
85606SHOWPRO_2011_0F,Autodesk Showcase Professional 2011,flexlm,adskflex
85607SHOWCASE_2011_0F,Autodesk Showcase 2011,flexlm,adskflex
85608SHCSPR_2011_0F,Autodesk Showcase Presenter 2011,flexlm,adskflex
85609DC_JT_2011_0F,Autodesk DirectConnect JT 2011,flexlm,adskflex
85610DC_JT_F,Autodesk DirectConnect JT Package,flexlm,adskflex
85611DC_UG_2011_0F,Autodesk DirectConnect NX 2011,flexlm,adskflex
85612DC_UG_F,Autodesk DirectConnect NX Package,flexlm,adskflex
85614RVTMPJ_2011_0F,Autodesk Revit MEP 2011,flexlm,adskflex
85615ALSK_2011_0F,Autodesk Alias Sketch 2011,flexlm,adskflex
85617MXECS_2011_0F,Autodesk 3ds Max Entertainment Creation Suite 2011,flexlm,adskflex
85618AAA_2011_0F,Autodesk Animation Academy 2011,flexlm,adskflex
85619ESEC_2011_0F,Autodesk Education Suite for Entertainment Creation 2011,flexlm,adskflex
85620MYECS_2011_0F,Autodesk Maya Entertainment Creation Suite 2011,flexlm,adskflex
85621SIECS_2011_0F,Autodesk Softimage Entertainment Creation Suite 2011,flexlm,adskflex
85622INVLTS_F,AutoCAD Inventor LT Suite Package,flexlm,adskflex
85623REVITS_2011_0F,AutoCAD Revit Architecture Suite 2011,flexlm,adskflex
85624REVSYP_2011_0F,AutoCAD Revit MEP Suite 2011,flexlm,adskflex
85625DES_ACA_2011_0F,Autodesk Design Academy 2011,flexlm,adskflex
85626EMS_2011_0F,Autodesk Education Master Suite 2011,flexlm,adskflex
85627ESAE_2011_0F,Autodesk Education Suite for Architecture and Engineering 2011,flexlm,adskflex
85628ESCSE_2011_0F,Autodesk Education Suite for Civil and Structural Engineering 2011,flexlm,adskflex
85629ESID_2011_0F,Autodesk Education Suite for Industrial Design 2011,flexlm,adskflex
85630ESME_2011_0F,Autodesk Education Suite for Mechanical Engineering 2011,flexlm,adskflex
85631INVFPR_2011_0F,Autodesk Inventor Factory Premium 2011,flexlm,adskflex
85632INVFAD_2011_0F,Autodesk Inventor Factory Advanced 2011,flexlm,adskflex
85633NWFPR_2011_0F,Autodesk Navisworks Factory Premium 2011,flexlm,adskflex
85634NWFAD_2011_0F,Autodesk Navisworks Factory Advanced 2011,flexlm,adskflex
85635FDSPRM_2011_0F,Autodesk Factory Design Suite Premium 2011,flexlm,adskflex
85636FDSADV_2011_0F,Autodesk Factory Design Suite Advanced 2011,flexlm,adskflex
85637MFAA_2011_0F,Autodesk Moldflow Adviser Advanced 2011,flexlm,adskflex
85638MFAD_2011_0F,Autodesk Moldflow Adviser Design 2011,flexlm,adskflex
85639MFAM_2011_0F,Autodesk Moldflow Adviser Manufacturing 2011,flexlm,adskflex
85640MFCD_2011_0F,Autodesk Moldflow CAD Doctor 2011,flexlm,adskflex
85641MFDLC_2011_0F,Autodesk Moldflow Design Link for CATIA V5 2011,flexlm,adskflex
85642MFDLP_2011_0F,Autodesk Moldflow Design Link for Parasolid 2011,flexlm,adskflex
85643MFDLPE_2011_0F,Autodesk Moldflow Design Link for Pro/ENGINEER 2011,flexlm,adskflex
85644MFIA_2011_0F,Autodesk Moldflow Insight Advanced 2011,flexlm,adskflex
85645MFIB_2011_0F,Autodesk Moldflow Insight Basic 2011,flexlm,adskflex
85646MFIP_2011_0F,Autodesk Moldflow Insight Performance 2011,flexlm,adskflex
85647MFS_2011_0F,Autodesk Moldflow Synergy 2011,flexlm,adskflex
85648INVRT_2011_0F,Autodesk Inventor Runtime 2011,flexlm,adskflex
85649INVLT_2011_0F,Autodesk Inventor LT 2011,flexlm,adskflex
85650INVLTS_2011_0F,AutoCAD Inventor LT Suite 2011,flexlm,adskflex
85651BDSADV_2011_0F,Autodesk Building Design Suite Advanced 2011,flexlm,adskflex
85652BDSPRM_2011_0F,Autodesk Building Design Suite Premium 2011,flexlm,adskflex
85653DSSTD_2011_0F,Autodesk Design Suite Standard 2011,flexlm,adskflex
85654DSADV_2011_0F,Autodesk Design Suite Advanced 2011,flexlm,adskflex
85655DSPRM_2011_0F,Autodesk Design Suite Premium 2011,flexlm,adskflex
85656RAVS_2011_0F,AutoCAD Revit Architecture Visualization Suite 2011,flexlm,adskflex
85657ACDDS_2011_0F,AutoCAD Visualization Suite 2011,flexlm,adskflex
85658PDSADV_2011_0F,Autodesk Plant Design Suite Advanced 2011,flexlm,adskflex
85659PDSPRM_2011_0F,Autodesk Plant Design Suite Premium 2011,flexlm,adskflex
85660PDSPRM_F,Autodesk Plant Design Suite Premium Package,flexlm,adskflex
85662ACDLTC_2011_0F,AutoCAD LT Civil Suite 2011,flexlm,adskflex
85663GMCADC_2011_0F,Autodesk GM CAD Convertors 2011,flexlm,adskflex
85664GMCADC_F,Autodesk GM CAD Convertors Package,flexlm,adskflex
85664GMCADC_T_F,Autodesk GM CAD Convertors,flexlm,adskflex
85666ATCIGM_F,Autodesk Alias TC Integrator for GM Package,flexlm,adskflex
85666ATCIGM_T_F,Autodesk Alias TC Integrator for GM,flexlm,adskflex
85667INVPUB_2011_0F,Autodesk Inventor Publisher 2011,flexlm,adskflex
85668INVAS_2011_0F,Autodesk Intent Professional 2011,flexlm,adskflex
85669INVAS_F,Autodesk Intent Professional Package,flexlm,adskflex
85670INVAR_2011_0F,Autodesk Intent Runtime 2011,flexlm,adskflex
85671INTSER_2011_0F,Autodesk Intent Server 2011,flexlm,adskflex
85672ECOA_2011_0F,Autodesk Ecotect Analysis 2011,flexlm,adskflex
85673HKMF_2011_0F,Architecture Multi-flex 2011,flexlm,adskflex
85674T1MF_2011_0F,T1 Enterprise Multi-flex 2011,flexlm,adskflex
85675MRSTND_F,mental ray Standalone Package,flexlm,adskflex
85676INTSER_F,Autodesk Inventor Engineer-to-Order Server Package,flexlm,adskflex
85676INTSER_T_F,Autodesk Inventor Engineer-to-Order Server,flexlm,adskflex
85677ECSCAD_2012_0F,AutoCAD ecscad 2012,flexlm,adskflex
85677FDSADV_F,Autodesk Factory Design Suite Ultimate Package,flexlm,adskflex
85677FDSADV_T_F,Autodesk Factory Design Suite Ultimate,flexlm,adskflex
85677FDSPRM_F,Autodesk Factory Design Suite Premium Package,flexlm,adskflex
85677FDSPRM_T_F,Autodesk Factory Design Suite Premium,flexlm,adskflex
85678ACAD_E_2012_0F,AutoCAD Electrical 2012,flexlm,adskflex
85679INVFAD_F,Autodesk Inventor Factory Ultimate Package,flexlm,adskflex
85680INVFPR_F,Autodesk Inventor Factory Premium Package,flexlm,adskflex
85681T1MFPV_2011_0F,T1 Enterprise Multi-flex Prior Version 2011,flexlm,adskflex
85683ARDES_2011_0F,AutoCAD Raster Design 2011,flexlm,adskflex
85685MXECSP_2011_0F,Autodesk 3ds Max Entertainment Creation Suite Premium 2011,flexlm,adskflex
85686MXECSP_F,Autodesk 3ds Max Entertainment Creation Suite Premium Package,flexlm,adskflex
85687MYECSP_2011_0F,Autodesk Maya Entertainment Creation Suite Premium 2011,flexlm,adskflex
85688MYECSP_F,Autodesk Maya Entertainment Creation Suite Premium Package,flexlm,adskflex
85689DSSTD_F,Autodesk Design Suite Standard Package,flexlm,adskflex
85689DSSTD_T_F,Autodesk AutoCAD Design Suite Standard,flexlm,adskflex
85690DSPRM_F,Autodesk Design Suite Premium Package,flexlm,adskflex
85690DSPRM_T_F,Autodesk AutoCAD Design Suite Premium,flexlm,adskflex
85691DSADV_F,Autodesk Design Suite Ultimate Package,flexlm,adskflex
85691DSADV_T_F,Autodesk AutoCAD Design Suite Ultimate,flexlm,adskflex
85692PDSADV_F,Autodesk Plant Design Suite Ultimate Package,flexlm,adskflex
85693SMKMACBRN_2011_0F,Autodesk Smoke Burn 2011,flexlm,adskflex
85693SMKMACWG1_2011_0F,Autodesk Smoke Wiretap Gateway1 2011,flexlm,adskflex
85693SMKMACWG2_2011_0F,Autodesk Smoke Wiretap Gateway2 2011,flexlm,adskflex
85693SMKMAC_2011_0F,Autodesk Smoke 2011 for Mac OS X,flexlm,adskflex
85693SMKMAC_2011_0P,Autodesk Smoke 2011 for Mac OS X,flexlm,adskflex
85694MAYAMMR1_2012_0F,Autodesk Maya 2012 Mental Ray 1,flexlm,adskflex
85694MAYAMMR1_F,Autodesk Maya Mental Ray 1 Package,flexlm,adskflex
85694MAYA_2012_0F,Autodesk Maya 2012,flexlm,adskflex
85696MBXPRO_2012_0F,Autodesk Mudbox 2012,flexlm,adskflex
856983DSMAX_2012_0F,Autodesk 3ds Max 2012,flexlm,adskflex
85700MAXDES_2012_0F,Autodesk 3ds Max Design 2012,flexlm,adskflex
85702MOBPRO_2012_0F,Autodesk MotionBuilder 2012,flexlm,adskflex
85704SHOWCASE_2012_0F,Autodesk Showcase 2012,flexlm,adskflex
85705SFTIMASIB_F,Autodesk Softimage 2013 Batch Package,flexlm,adskflex
85705SFTIMSIB_2012_0F,Autodesk Softimage 2012 SIBatch,flexlm,adskflex
85705SFTIM_2012_0F,Autodesk Softimage 2012,flexlm,adskflex
85708MXECS_2012_0F,Autodesk 3ds Max Entertainment Creation Suite Standard 2012,flexlm,adskflex
85710MXECSP_2012_0F,Autodesk 3ds Max Entertainment Creation Suite Premium 2012,flexlm,adskflex
85712AAA_2012_0F,Autodesk Animation Academy 2012,flexlm,adskflex
85713AAA_F,Autodesk Animation Academy Package,flexlm,adskflex
85714ESEC_2012_0F,Autodesk Entertainment Creation Suite for Education 2012,flexlm,adskflex
85716MYECS_2012_0F,Autodesk Maya Entertainment Creation Suite Standard 2012,flexlm,adskflex
85718MYECSP_2012_0F,Autodesk Maya Entertainment Creation Suite Premium 2012,flexlm,adskflex
85720SIECS_2012_0F,Autodesk Softimage Entertainment Creation Suite Standard 2012,flexlm,adskflex
85726ASMES_2012_0F,Autodesk Simulation Mechanical 2012,flexlm,adskflex
85728ASPRO_2012_0F,Autodesk Simulation Multiphysics 2012,flexlm,adskflex
85730ACD_2012_0F,AutoCAD 2012,flexlm,adskflex
85731ARCHDESK_2012_0F,AutoCAD Architecture 2012,flexlm,adskflex
85732ACDLT_2012_0F,AutoCAD LT 2012,flexlm,adskflex
85733AMECH_PP_2012_0F,AutoCAD Mechanical 2012,flexlm,adskflex
85734BLDSYS_2012_0F,AutoCAD MEP 2012,flexlm,adskflex
85737SMKMACBRN_2012_0F,Autodesk Smoke Burn 2012,flexlm,adskflex
85737SMKMACBRN_F,Autodesk Smoke Burn Package,flexlm,adskflex
85737SMKMACWG_2012_0F,Autodesk Smoke Wiretap Gateway 2012,flexlm,adskflex
85737SMKMACWG_F,Autodesk Smoke Wiretap Gateway Package,flexlm,adskflex
85737SMKMAC_2012_0F,Autodesk Smoke 2012 for Mac OS X,flexlm,adskflex
85738SMKMACWG1_F,Autodesk Smoke Wiretap Gateway1 Package,flexlm,adskflex
85738SMKMACWG2_F,Autodesk Smoke Wiretap Gateway2 Package,flexlm,adskflex
85738SMKMAC_F,Autodesk Smoke for Mac OS X Package,flexlm,adskflex
85740AUTOST_2012_0F,Autodesk Alias Automotive 2012,flexlm,adskflex
85741DESNST_2012_0F,Autodesk Alias Design 2012,flexlm,adskflex
85742SURFST_2012_0F,Autodesk Alias Surface 2012,flexlm,adskflex
85744STRDET_2012_0F,AutoCAD Structural Detailing 2012,flexlm,adskflex
85747REVIT_2012_0F,Autodesk Revit Architecture 2012,flexlm,adskflex
85748RVTMPB_2012_0F,Autodesk Revit MEP 2012,flexlm,adskflex
85749REVITST_2012_0F,Autodesk Revit Structure 2012,flexlm,adskflex
85750VLTC_2012_0F,Autodesk Vault Collaboration 2012,flexlm,adskflex
85752VLTWG_2012_0F,Autodesk Vault Workgroup 2012,flexlm,adskflex
85753VLTM_2012_0F,Autodesk Vault Professional 2012,flexlm,adskflex
85754DC_JT_2012_0F,Autodesk DirectConnect JT 2012,flexlm,adskflex
85755DC_UG_2012_0F,Autodesk DirectConnect NX 2012,flexlm,adskflex
85758ATCIGM_2012_0F,Autodesk Alias TC Integrator for GM 2012,flexlm,adskflex
85759INVLTS_2012_0F,AutoCAD Inventor LT Suite 2012,flexlm,adskflex
85762INVPRORS_2012_0F,AutoCAD Inventor Routed Systems Suite 2012,flexlm,adskflex
85765INVLT_2012_0F,Autodesk Inventor LT 2012,flexlm,adskflex
85766INVFPR_2012_0F,Autodesk Inventor Factory Premium 2012,flexlm,adskflex
85767INVFAD_2012_0F,Autodesk Inventor Factory Ultimate 2012,flexlm,adskflex
85768INVNTOR_2012_0F,Autodesk Inventor 2012,flexlm,adskflex
85769EMS_2012_0F,Autodesk Education Master Suite 2012,flexlm,adskflex
85770ESAE_2012_0F,Autodesk Building Design Suite for Education 2012,flexlm,adskflex
85771ESCSE_2012_0F,Autodesk Infrastructure Design Suite for Education 2012,flexlm,adskflex
85773ESME_2012_0F,Autodesk Product Design Suite for Education 2012,flexlm,adskflex
85774DES_ACA_2012_0F,Autodesk Design Academy 2012,flexlm,adskflex
85776MAP_2012_0F,AutoCAD Map 3D 2012,flexlm,adskflex
85777RSA_2012_0F,Autodesk Robot Structural Analysis 2012,flexlm,adskflex
85778RSAPRO_2012_0F,Autodesk Robot Structural Analysis Professional 2012,flexlm,adskflex
85779PLNT3D_2012_0F,AutoCAD Plant 3D 2012,flexlm,adskflex
85780PNID_2012_0F,AutoCAD P&ID 2012,flexlm,adskflex
85781INVPUB_2012_0F,Autodesk Inventor Publisher 2012,flexlm,adskflex
85782INVPUB_F,Autodesk Inventor Publisher Package,flexlm,adskflex
85783DSSTD_2012_0F,Autodesk Design Suite Standard 2012,flexlm,adskflex
85784DSPRM_2012_0F,Autodesk Design Suite Premium 2012,flexlm,adskflex
85785PDSPRM_2012_0F,Autodesk Plant Design Suite Premium 2012,flexlm,adskflex
85786PDSADV_2012_0F,Autodesk Plant Design Suite Ultimate 2012,flexlm,adskflex
85787BDSPRM_2012_0F,Autodesk Building Design Suite Premium 2012,flexlm,adskflex
85787BDSPRM_F,Autodesk Building Design Suite Premium Package,flexlm,adskflex
85788BDSADV_2012_0F,Autodesk Building Design Suite Ultimate 2012,flexlm,adskflex
85788BDSADV_F,Autodesk Building Design Suite Ultimate Package,flexlm,adskflex
85789FDSPRM_2012_0F,Autodesk Factory Design Suite Premium 2012,flexlm,adskflex
