lm_feature_code,description,lm_system,lm_vendor
49500BLDSYS_2006_0F,Building Systems 2006,flexlm,adskflex
49600ACAD_E_2006_0F,AutoCAD Electrical 2006,flexlm,adskflex
49700CIV3D_2006_0F,Autodesk Civil 3D 2006,flexlm,adskflex
49800REVITS_7_0F,AutoCAD Revit Series 7.0,flexlm,adskflex
49900COMBUST_4_0F,Combustion R4,flexlm,adskflex
4D,ISOGEN - Batch,flexlm,adskflex
50100REVIT_8_0F,Revit Building 8.0,flexlm,adskflex
50200REVITST_1_0F,Revit Structural 1.0,flexlm,adskflex
50300REVITS_8_0F,AutoCAD Revit Series 8.0,flexlm,adskflex
50400A-SURV_2006_0F,Autodesk Survey 2006,flexlm,adskflex
50500ARDES_2006_0F,AutoCAD Raster Design 2006,flexlm,adskflex
506003DSMAX_8_0F,Autodesk 3ds max R8,flexlm,adskflex
50700REVITS_8_1F,AutoCAD Revit Series 8.1,flexlm,adskflex
50800UTLDESN_2006_0F,Autodesk Utility Design 2006,flexlm,adskflex
50900REVIT_8_1F,Revit Building 8.1,flexlm,adskflex
51000REVITST_2_0F,Revit Structural 2.0,flexlm,adskflex
51100REVITSYS_0_5F,Revit Systems 1,flexlm,adskflex
51200ACD_2007_0F,AutoCAD 2007,flexlm,adskflex
51300INVBUN_11_0F,Inventor Series 11,flexlm,adskflex
51400INVPRO_11_0F,Inventor Professional 11,flexlm,adskflex
51500ARCHDESK_2007_0F,Architectural Desktop 2007,flexlm,adskflex
51600ACDLAND_2007_0F,Land Desktop 2007,flexlm,adskflex
51700MAP_2007_0F,AutoCAD Map 3D 2007,flexlm,adskflex
51800BLDSYS_2007_0F,Building Systems 2007,flexlm,adskflex
51900AMECH_PP_2007_0F,AutoCAD Mechanical 2007,flexlm,adskflex
52100ACAD_E_2007_0F,AutoCAD Electrical 2007,flexlm,adskflex
52200CIV3D_2007_0F,Autodesk Civil 3D 2007,flexlm,adskflex
52300UTLDESN_2007_0F,Autodesk Utility Design 2007,flexlm,adskflex
52500REVITS_9_0F,AutoCAD Revit Series Building 9,flexlm,adskflex
52600REVIT_9_0F,Revit Building 9,flexlm,adskflex
52700A-SURV_2007_0F,Autodesk Survey 2007,flexlm,adskflex
52800ARDES_2007_0F,AutoCAD Raster Design 2007,flexlm,adskflex
52900INVPRORS_11_0F,Inventor Professional 11 Routed Systems,flexlm,adskflex
53000INVPROSIM_11_0F,Inventor Professional 11 Simulation,flexlm,adskflex
53100REVSYP_1_0F,AutoCAD Revit Series - Systems Plus 1,flexlm,adskflex
533003DSMAX_9_0F,Autodesk 3ds max R9,flexlm,adskflex
53400REVITST_3_0F,Revit Structure 3,flexlm,adskflex
53500VIZ_2007_0F,VIZ 2007,flexlm,adskflex
53700REVSU_3_0F,AutoCAD Revit Series - Structure 3,flexlm,adskflex
53900PNID_2007_0F,AutoCAD P&ID 2007,flexlm,adskflex
54100REVITS_9_1F,AutoCAD Revit Series Building 9.1,flexlm,adskflex
54200REVSU_4_0F,AutoCAD Revit Series - Structure 4,flexlm,adskflex
54300REVIT_9_1F,Revit Building 9.1,flexlm,adskflex
54500REVSYP_2_0F,AutoCAD Revit Series Systems Plus 2,flexlm,adskflex
54600ACD_2008_0F,AutoCAD 2008,flexlm,adskflex
54700REVITS_2008_0F,AutoCAD Revit Architecture Suite 2008,flexlm,adskflex
54800REVSU_2008_0F,AutoCAD Revit Structure Suite 2008,flexlm,adskflex
54900AMECH_PP_2008_0F,AutoCAD Mechanical 2008,flexlm,adskflex
55000INVBUN_2008_0F,Autodesk Inventor Suite 2008,flexlm,adskflex
55100INVPRORS_2008_0F,Autodesk Inventor Routed Systems Suite 2008,flexlm,adskflex
55200INVPROSIM_2008_0F,Autodesk Inventor Simulation Suite 2008,flexlm,adskflex
55300INVPRO_2008_0F,Inventor Professional 2008,flexlm,adskflex
55400CIV3D_2008_0F,AutoCAD Civil 3D 2008,flexlm,adskflex
55500ACDLAND_2008_0F,AutoCAD Land Desktop 2008,flexlm,adskflex
55600BLDSYS_2008_0F,AutoCAD MEP 2008,flexlm,adskflex
55700REVSYP_2008_0F,AutoCAD Revit MEP Suite 2008,flexlm,adskflex
55800ARCHDESK_2008_0F,AutoCAD Architecture 2008,flexlm,adskflex
55900MAP_2008_0F,AutoCAD Map 3D 2008,flexlm,adskflex
56000ACAD_E_2008_0F,AutoCAD Electrical 2008,flexlm,adskflex
56100UTLDESN_2008_0F,AutoCAD Utility Design 2008,flexlm,adskflex
56200PNID_2008_0F,AutoCAD P&ID 2008,flexlm,adskflex
568003DSMAX_2008_0F,Autodesk 3ds Max 2008,flexlm,adskflex
56900VIZ_2008_0F,VIZ 2008,flexlm,adskflex
57000ARDES_2008_0F,AutoCAD Raster Design 2008,flexlm,adskflex
57100REVIT_2008_0F,Revit Architecture 2008,flexlm,adskflex
57200REVITST_2008_0F,Revit Structure 2008,flexlm,adskflex
57600ACD_2009_0F,AutoCAD 2009,flexlm,adskflex
59200AMECH_PP_2009_0F,AutoCAD Mechanical 2009,flexlm,adskflex
59300INVBUN_2009_0F,Autodesk Inventor Suite 2009,flexlm,adskflex
59400INVPRORS_2009_0F,Autodesk Inventor Routed Systems Suite 2009,flexlm,adskflex
59500INVPROSIM_2009_0F,Autodesk Inventor Simulation Suite 2009,flexlm,adskflex
59600INVPRO_2009_0F,Inventor Professional 2009,flexlm,adskflex
59700CIV3D_2009_0F,AutoCAD Civil 3D 2009,flexlm,adskflex
59800ACDLAND_2009_0F,AutoCAD Land Desktop 2009,flexlm,adskflex
59900BLDSYS_2009_0F,AutoCAD MEP 2009,flexlm,adskflex
5D,ISOGEN - Interactive,flexlm,adskflex
60000REVSYP_2009_0F,AutoCAD Revit MEP Suite 2009,flexlm,adskflex
60100ARCHDESK_2009_0F,AutoCAD Architecture 2009,flexlm,adskflex
60200MAP_2009_0F,AutoCAD Map 3D 2009,flexlm,adskflex
60300ACAD_E_2009_0F,AutoCAD Electrical 2009,flexlm,adskflex
60400UTLDESN_2009_0F,Autodesk Utility Design 2009,flexlm,adskflex
60500PNID_2009_0F,AutoCAD P&ID 2009,flexlm,adskflex
60800COMBUST_2008_0F,Autodesk Combustion,flexlm,adskflex
60900REVITS_2009_0F,AutoCAD Revit Architecture Suite 2009,flexlm,adskflex
61000REVSU_2009_0F,AutoCAD Revit Structure Suite 2009,flexlm,adskflex
61100INVLT_2009_0F,Autodesk Inventor LT 2009,flexlm,adskflex
612003DSMAX_2009_0F,Autodesk 3ds Max 2009,flexlm,adskflex
61300ARDES_2009_0F,AutoCAD Raster Design 2009,flexlm,adskflex
61400MAPGE_2009_0F,Autodesk MapGuide Enterprise 2009,flexlm,adskflex
61500PLNT3D_2009_0F,AutoCAD Plant 3D 2009,flexlm,adskflex
61700INVMFG_2009_0F,AutoCAD Inventor Tooling Suite 2009,flexlm,adskflex
