FlexLM Feature Code,Description
54900AMECH_PP_2008_0F,AutoCAD Mechanical 2008
55000INVBUN_2008_0F,Autodesk Inventor Suite 2008
55100INVPRORS_2008_0F,Autodesk Inventor Routed Systems Suite 2008
55200INVPROSIM_2008_0F,Autodesk Inventor Simulation Suite 2008
55300INVPRO_2008_0F,Inventor Professional 2008
55400CIV3D_2008_0F,AutoCAD Civil 3D 2008
55500ACDLAND_2008_0F,AutoCAD Land Desktop 2008
55600BLDSYS_2008_0F,AutoCAD MEP 2008
55700REVSYP_2008_0F,AutoCAD Revit MEP Suite 2008
55800ARCHDESK_2008_0F,AutoCAD Architecture 2008
55900MAP_2008_0F,AutoCAD Map 3D 2008
56000ACAD_E_2008_0F,AutoCAD Electrical 2008
56100UTLDESN_2008_0F,AutoCAD Utility Design 2008
56200PNID_2008_0F,AutoCAD P&ID 2008
568003DSMAX_2008_0F,Autodesk 3ds Max 2008
56900VIZ_2008_0F,VIZ 2008
57000ARDES_2008_0F,AutoCAD Raster Design 2008
57100REVIT_2008_0F,Revit Architecture 2008
57200REVITST_2008_0F,Revit Structure 2008
57600ACD_2009_0F,AutoCAD 2009
59200AMECH_PP_2009_0F,AutoCAD Mechanical 2009
59300INVBUN_2009_0F,Autodesk Inventor Suite 2009
59400INVPRORS_2009_0F,Autodesk Inventor Routed Systems Suite 2009
59500INVPROSIM_2009_0F,Autodesk Inventor Simulation Suite 2009
59600INVPRO_2009_0F,Inventor Professional 2009
59700CIV3D_2009_0F,AutoCAD Civil 3D 2009
59800ACDLAND_2009_0F,AutoCAD Land Desktop 2009
59900BLDSYS_2009_0F,AutoCAD MEP 2009
5D,ISOGEN - Interactive
60000REVSYP_2009_0F,AutoCAD Revit MEP Suite 2009
60100ARCHDESK_2009_0F,AutoCAD Architecture 2009
60200MAP_2009_0F,AutoCAD Map 3D 2009
60300ACAD_E_2009_0F,AutoCAD Electrical 2009
60400UTLDESN_2009_0F,Autodesk Utility Design 2009
60500PNID_2009_0F,AutoCAD P&ID 2009
60800COMBUST_2008_0F,Autodesk Combustion
60900REVITS_2009_0F,AutoCAD Revit Architecture Suite 2009
61000REVSU_2009_0F,AutoCAD Revit Structure Suite 2009
61100INVLT_2009_0F,Autodesk Inventor LT 2009
612003DSMAX_2009_0F,Autodesk 3ds Max 2009
61300ARDES_2009_0F,AutoCAD Raster Design 2009
61400MAPGE_2009_0F,Autodesk MapGuide Enterprise 2009
61500PLNT3D_2009_0F,AutoCAD Plant 3D 2009
61700INVMFG_2009_0F,AutoCAD Inventor Tooling Suite 2009
62100REVIT_2009_0F,Revit Architecture 2009
62200REVITST_2009_0F,Revit Structure 2009
62700NAVREV_2009_0F,Autodesk NavisWorks Review 2009
62800NAVSIM_2009_0F,Autodesk NavisWorks Simulate 2009
62900NAVMAN_2009_0F,Autodesk NavisWorks Manage 2009
64300ACD_F,AutoCAD Package
64400AMECH_PP_F,AutoCAD Mechanical Package
64500INVBUN_F,Inventor Series Package
64800INVPRO_F,Inventor Professional Package
64900CIV3D_F,Autodesk Civil 3D Package
65100BLDSYS_F,AutoCAD MEP Package
65200REVSYP_F,AutoCAD Revit MEP Suite Package
65300ARCHDESK_F,AutoCAD Architecture Package
65500ACAD_E_F,AutoCAD Electrical Package
65700PLNT3D_F,AutoCAD Plant 3D Package
65900REVITS_F,AutoCAD Revit Architecture Suite Package
66000REVSU_F,AutoCAD Revit Series - Structure Package
662003DSMAX_F,Autodesk 3ds Max Package
66300ARDES_F,AutoCAD Raster Design Package
66800REVIT_F,Revit Architecture Package
66900REVITST_F,Autodesk Revit Structure Package
67400NAVREV_F,Autodesk NavisWorks Review Package
