FlexLM Feature Code,Description
85700MAXDES_2012_0F,Autodesk 3ds Max Design 2012
85702MOBPRO_2012_0F,Autodesk MotionBuilder 2012
85704SHOWCASE_2012_0F,Autodesk Showcase 2012
85705SFTIM_2012_0F,Autodesk Softimage 2012
85705SFTIMASIB_F,Autodesk Softimage 2013 Batch Package
85705SFTIMSIB_2012_0F,Autodesk Softimage 2012 SIBatch
85708MXECS_2012_0F,Autodesk 3ds Max Entertainment Creation Suite Standard 2012
85710MXECSP_2012_0F,Autodesk 3ds Max Entertainment Creation Suite Premium 2012
85712AAA_2012_0F,Autodesk Animation Academy 2012
85714ESEC_2012_0F,Autodesk Entertainment Creation Suite for Education 2012
85716MYECS_2012_0F,Autodesk Maya Entertainment Creation Suite Standard 2012
85718MYECSP_2012_0F,Autodesk Maya Entertainment Creation Suite Premium 2012
85720SIECS_2012_0F,Autodesk Softimage Entertainment Creation Suite Standard 2012
85726ASMES_2012_0F,Autodesk Simulation Mechanical 2012
85728ASPRO_2012_0F,Autodesk Simulation Multiphysics 2012
85730ACD_2012_0F,AutoCAD 2012
85731ARCHDESK_2012_0F,AutoCAD Architecture 2012
85732ACDLT_2012_0F,AutoCAD LT 2012
85733AMECH_PP_2012_0F,AutoCAD Mechanical 2012
85734BLDSYS_2012_0F,AutoCAD MEP 2012
85737SMKMAC_2012_0F,Autodesk Smoke 2012 for Mac OS X
85737SMKMACBRN_2012_0F,Autodesk Smoke Burn 2012
85737SMKMACBRN_F,Autodesk Smoke Burn Package
85737SMKMACWG_2012_0F,Autodesk Smoke Wiretap Gateway 2012
85737SMKMACWG_F,Autodesk Smoke Wiretap Gateway Package
85738SMKMAC_F,Autodesk Smoke for Mac OS X Package
85740AUTOST_2012_0F,Autodesk Alias Automotive 2012
85741DESNST_2012_0F,Autodesk Alias Design 2012
85742SURFST_2012_0F,Autodesk Alias Surface 2012
85744STRDET_2012_0F,AutoCAD Structural Detailing 2012
85747REVIT_2012_0F,Autodesk Revit Architecture 2012
85748RVTMPB_2012_0F,Autodesk Revit MEP 2012
85749REVITST_2012_0F,Autodesk Revit Structure 2012
85750VLTC_2012_0F,Autodesk Vault Collaboration 2012
85752VLTWG_2012_0F,Autodesk Vault Workgroup 2012
85753VLTM_2012_0F,Autodesk Vault Professional 2012
85754DC_JT_2012_0F,Autodesk DirectConnect JT 2012
85755DC_UG_2012_0F,Autodesk DirectConnect NX 2012
85758ATCIGM_2012_0F,Autodesk Alias TC Integrator for GM 2012
85759INVLTS_2012_0F,AutoCAD Inventor LT Suite 2012
85762INVPRORS_2012_0F,AutoCAD Inventor Routed Systems Suite 2012
85765INVLT_2012_0F,Autodesk Inventor LT 2012
85766INVFPR_2012_0F,Autodesk Inventor Factory Premium 2012
85767INVFAD_2012_0F,Autodesk Inventor Factory Ultimate 2012
85768INVNTOR_2012_0F,Autodesk Inventor 2012
85769EMS_2012_0F,Autodesk Education Master Suite 2012
85770ESAE_2012_0F,Autodesk Building Design Suite for Education 2012
85771ESCSE_2012_0F,Autodesk Infrastructure Design Suite for Education 2012
85773ESME_2012_0F,Autodesk Product Design Suite for Education 2012
85774DES_ACA_2012_0F,Autodesk Design Academy 2012
85776MAP_2012_0F,AutoCAD Map 3D 2012
85777RSA_2012_0F,Autodesk Robot Structural Analysis 2012
85778RSAPRO_2012_0F,Autodesk Robot Structural Analysis Professional 2012
85779PLNT3D_2012_0F,AutoCAD Plant 3D 2012
85780PNID_2012_0F,AutoCAD P&ID 2012
85781INVPUB_2012_0F,Autodesk Inventor Publisher 2012
85783DSSTD_2012_0F,Autodesk Design Suite Standard 2012
85784DSPRM_2012_0F,Autodesk Design Suite Premium 2012
85785PDSPRM_2012_0F,Autodesk Plant Design Suite Premium 2012
85786PDSADV_2012_0F,Autodesk Plant Design Suite Ultimate 2012
85787BDSPRM_2012_0F,Autodesk Building Design Suite Premium 2012
85787BDSPRM_F,Autodesk Building Design Suite Premium Package
85788BDSADV_2012_0F,Autodesk Building Design Suite Ultimate 2012
85788BDSADV_F,Autodesk Building Design Suite Ultimate Package
85789FDSPRM_2012_0F,Autodesk Factory Design Suite Premium 2012
85790FDSADV_2012_0F,Autodesk Factory Design Suite Ultimate 2012
85791REVITS_2012_0F,AutoCAD Revit Architecture Suite 2012
85792REVSU_2012_0F,AutoCAD Revit Structure Suite 2012
85793REVSYP_2012_0F,AutoCAD Revit MEP Suite 2012
85794PDSS_2012_0F,Autodesk Product Design Suite Standard 2012
85795PDSP_2012_0F,Autodesk Product Design Suite Premium 2012
85796PDSU_2012_0F,Autodesk Product Design Suite Ultimate 2012
85797BDSS_2012_0F,Autodesk Building Design Suite Standard 2012
85797BDSS_F,Autodesk Building Design Suite Standard Package
85798IDSU_2012_0F,Autodesk Infrastructure Design Suite Ultimate 2012
85799IDSP_2012_0F,Autodesk Infrastructure Design Suite Premium 2012
85800IDSS_2012_0F,Autodesk Infrastructure Design Suite Standard 2012
85801DSADV_2012_0F,Autodesk Design Suite Ultimate 2012
85802PLTDSS_2012_0F,Autodesk Plant Design Suite Standard 2012
85804FDSS_2012_0F,Autodesk Factory Design Suite Standard 2012
85805FDSS_F,Autodesk Factory Design Suite Standard Package
85806ENCSU_2012_0F,Autodesk Entertainment Creation Suite Ultimate 2012
85807ENCSU_F,Autodesk Entertainment Creation Suite Ultimate Package
85808ACDLTC_2012_0F,AutoCAD LT Civil Suite 2012
85810IDSU_F,Autodesk Infrastructure Design Suite Ultimate Package
85812IDSP_F,Autodesk Infrastructure Design Suite Premium Package
85813PDSS_F,Autodesk Product Design Suite Standard Package
85814PDSP_F,Autodesk Product Design Suite Premium Package
85815PDSU_F,Autodesk Product Design Suite Ultimate Package
85816MFAA_2012_0F,Autodesk Moldflow Adviser Advanced 2012
85817MFCD_2012_0F,Autodesk Moldflow CAD Doctor 2012
85818MFAD_2012_0F,Autodesk Moldflow Adviser Design 2012
85819MFAM_2012_0F,Autodesk Moldflow Adviser Manufacturing 2012
85820MFDLC_2012_0F,Autodesk Moldflow Design Link for CATIA V5 2012
85821MFDLP_2012_0F,Autodesk Moldflow Design Link for Parasolid 2012
85822MFDLPE_2012_0F,Autodesk Moldflow Design Link for Pro/ENGINEER 2012
85823MFIA_2012_0F,Autodesk Moldflow Insight Advanced 2012
85824MFIP_2012_0F,Autodesk Moldflow Insight Performance 2012
85825MFIB_2012_0F,Autodesk Moldflow Insight Basic 2012
85826MFS_2012_0F,Autodesk Moldflow Synergy 2012
85827UTLDESN_2012_0F,Autodesk Utility Design 2012
85828ALSK_2012_0F,Autodesk SketchBook Designer 2012
85830CIV3D_2012_0F,AutoCAD Civil 3D 2012
85831MRSTND_2012_0F,mental ray Standalone 2012
85833AQTO_2012_0F,Autodesk Quantity Takeoff 2012
85834AQTO_F,Autodesk Quantity Takeoff Package
85837NAVSIM_2012_0F,Autodesk Navisworks Simulate 2012
85838NAVSIM_F,Autodesk NavisWorks Simulate Package
85839NAVMAN_2012_0F,Autodesk Navisworks Manage 2012
85840ECOA_2012_0F,Autodesk Ecotect Analysis 2012
85841ARDES_2012_0F,AutoCAD Raster Design 2012
85842GMCADC_2012_0F,Autodesk GM CAD Convertors 2012
85843PCOFFI_2012_0F,Autodesk Vault Office 2012
85844IMS_2012_0F,Autodesk Infrastructure Map Server 2012
85846INVPROSA_2012_0F,Autodesk Inventor Professional 2012
85847SHOWPRO_2012_0F,Autodesk Showcase Professional 2012
85849INVOEM_2012_0F,Autodesk Inventor OEM 2012
85850MAP3DE_2012_0F,AutoCAD Map 3D Enterprise 2012
85852RTRTCL_2012_0F,Autodesk Real-Time Ray Tracing Cluster 2012
85853ACD_2012_0F,Autodesk Vault Base Server 2012
85854OSPRO_2012_0F,Autodesk Opticore Studio Professional 2012
85856VTCAEC_2012_0F,Autodesk Vault Collaboration AEC 2012
85857MAYA_2013_0F,Autodesk Maya 2013
85857MAYAMMR1_2013_0F,Autodesk Maya 2013 Mental Ray 1
85859TRTLS_2012_0F,Turtle For Maya Standard 2012
85860TRTLP_2012_0F,Turtle For Maya Premium 2012
85860TRTLPB_2012_0F,Turtle For Maya Premium 2012
85860TRTLPB_F,Turtle For Maya Premium Package
85862REVIT_2013_0F,Autodesk Revit Architecture 2013
85864RVTMPB_2013_0F,Autodesk Revit MEP 2013
85866REVITST_2013_0F,Autodesk Revit Structure 2013
85868KYNGMS_2012_0F,Autodesk Kynapse 2012
85869MBXPRO_2013_0F,Autodesk Mudbox 2013
85871ACD_2013_0F,AutoCAD 2013
85872ACDLT_2013_0F,AutoCAD LT 2013
85873INVETO_2012_0F,Autodesk Inventor Engineer-to-Order Series 2012
85875ACDMAC_2012_0F,AutoCAD for Mac 2012
85877INTSER_2012_0F,Autodesk Inventor Engineer-to-Order Server 2012
85881AUTOST_2013_0F,Autodesk Alias Automotive 2013
85882INFMDR_2012_0F,Autodesk Infrastructure Modeler 2012
85883ARCHDESK_2013_0F,AutoCAD Architecture 2013
85885AMECH_PP_2013_0F,AutoCAD Mechanical 2013
85887BLDSYS_2013_0F,AutoCAD MEP 2013
85889ECSCAD_2013_0F,AutoCAD ecscad 2013
85890ACAD_E_2013_0F,AutoCAD Electrical 2013
858923DSMAX_2013_0F,Autodesk 3ds Max 2013
85893MAXDES_2013_0F,Autodesk 3ds Max Design 2013
85895SURFST_2013_0F,Autodesk Alias Surface 2013
85896DESNST_2013_0F,Autodesk Alias Design 2013
85897T1MF_2012_0F,T1 Enterprise Multi-flex 2012
85899T1MFPV_2012_0F,T1 Enterprise Multi-flex Prior Version 2012
85902SCFD_2012_0F,Autodesk Simulation CFD 2012
85903SCFDA_2012_0F,Autodesk Simulation CFD 2012 Advanced
85904SCACIS_2012_0F,Autodesk Simulation CFD 2012 Connection for ACIS
85905SCCV5_2012_0F,Autodesk Simulation CFD 2012 Connection for Catia V5
85906SCCOC_2012_0F,Autodesk Simulation CFD 2012 Connection for CoCreate
85907SCFDCD_2012_0F,Autodesk Simulation CFD 2012 Connection for Discrete
85908SCFDCI_2012_0F,Autodesk Simulation CFD 2012 Connection for Inventor
85909SCFDNX_2012_0F,Autodesk Simulation CFD 2012 Connection for NX
85910SCFDP_2012_0F,Autodesk Simulation CFD 2012 Connection for Parasolid
85911SCPROE_2012_0F,Autodesk Simulation CFD 2012 Connection for Pro/ENGINEER
85912SCFDCR_2012_0F,Autodesk Simulation CFD 2012 Connection for Revit
85913SCFDSE_2012_0F,Autodesk Simulation CFD 2012 Connection for SolidEdge
85914SCFDSW_2012_0F,Autodesk Simulation CFD 2012 Connection for SolidWorks
85915SCFDSC_2012_0F,Autodesk Simulation CFD 2012 Connection for SpaceClaim
85916SCDSE_2012_0F,Autodesk Simulation CFD 2012 Design Study Environment
85917SCFDM_2012_0F,Autodesk Simulation CFD 2012 Motion
85918MXECSP_2013_0F,Autodesk 3ds Max Entertainment Creation Suite Premium 2013
85920MXECS_2013_0F,Autodesk 3ds Max Entertainment Creation Suite Standard 2013
85922AAA_2013_0F,Autodesk Animation Academy 2013
85926ENCSU_2013_0F,Autodesk Entertainment Creation Suite Ultimate 2013
85928MYECSP_2013_0F,Autodesk Maya Entertainment Creation Suite Premium 2013
85930MYECS_2013_0F,Autodesk Maya Entertainment Creation Suite Standard 2013
85932SIECS_2013_0F,Autodesk Softimage Entertainment Creation Suite Standard 2013
85934SFTIM_2013_0F,Autodesk Softimage 2013
85934SFTIMSIB_2013_0F,Autodesk Softimage 2013 SIBatch
85936MOBPRO_2013_0F,Autodesk MotionBuilder 2013
85937SMKMAC_2013_0F,Autodesk Smoke 2013 for Mac OS X
85937SMKMACBRN_2013_0F,Autodesk Smoke 2013 for Mac OS X Burn
85937SMKMACWG_2013_0F,Autodesk Smoke 2013 for Mac OS X Wiretap Gateway
85940ASMES_2013_0F,Autodesk Simulation Mechanical 2013
85942ASPRO_2013_0F,Autodesk Simulation Multiphysics 2013
85943STRDET_2013_0F,AutoCAD Structural Detailing 2013
85946BDSPRM_2013_0F,Autodesk Building Design Suite Premium 2013
85947BDSS_2013_0F,Autodesk Building Design Suite Standard 2013
85948BDSADV_2013_0F,Autodesk Building Design Suite Ultimate 2013
85949SHOWPRO_2013_0F,Autodesk Showcase Professional 2013
85950RVT_2013_0F,Autodesk Revit 2013
85952ARDES_2013_0F,AutoCAD Raster Design 2013
85954REVITS_2013_0F,AutoCAD Revit Architecture Suite 2013
85955REVSYP_2013_0F,AutoCAD Revit MEP Suite 2013
85956SHOWCASE_2013_0F,Autodesk Showcase 2013
85957REVSU_2013_0F,AutoCAD Revit Structure Suite 2013
85958INVLTS_2013_0F,AutoCAD Inventor LT Suite 2013
85959INVETO_2013_0F,Autodesk Inventor Engineer-to-Order Series 2013
85961ESME_2013_0F,Autodesk Product Design Suite for Education 2013
85962PDSP_2013_0F,Autodesk Product Design Suite Premium 2013
85963PDSU_2013_0F,Autodesk Product Design Suite Ultimate 2013
85964PDSS_2013_0F,Autodesk Product Design Suite Standard 2013
85965FDSPRM_2013_0F,Autodesk Factory Design Suite Premium 2013
85966FDSS_2013_0F,Autodesk Factory Design Suite Standard 2013
85967FDSADV_2013_0F,Autodesk Factory Design Suite Ultimate 2013
85969DSPRM_2013_0F,AutoCAD Design Suite Premium 2013
85970DSSTD_2013_0F,AutoCAD Design Suite Standard 2013
85971DSADV_2013_0F,AutoCAD Design Suite Ultimate 2013
85974ESCSE_2013_0F,Autodesk Infrastructure Design Suite for Education 2013
85975RSAPRO_2013_0F,Autodesk Robot Structural Analysis Professional 2013
85976CIV3D_2013_0F,AutoCAD Civil 3D 2013
85977PNID_2013_0F,AutoCAD P&ID 2013
85978PLNT3D_2013_0F,AutoCAD Plant 3D 2013
85979INVPUB_2013_0F,Autodesk Inventor Publisher 2013
85981MAP_2013_0F,AutoCAD Map 3D 2013
85982MAP3DE_2013_0F,AutoCAD Map 3D Enterprise 2013
85983VLTC_2013_0F,Autodesk 360 Vault Collaboration 2013
85984VTCAEC_2013_0F,Autodesk 360 Vault Collaboration AEC 2013
85986PCOFFI_2013_0F,Autodesk 360 Vault Office 2013
85987VLTM_2013_0F,Autodesk 360 Vault Professional 2013
85988VLTWG_2013_0F,Autodesk 360 Vault Workgroup 2013
85989ACDMAC_2013_0F,AutoCAD for Mac 2013
85990ALSK_2013_0F,Autodesk SketchBook Designer 2013
85991ACDLTC_2013_0F,AutoCAD LT Civil Suite 2013
85992IDSP_2013_0F,Autodesk Infrastructure Design Suite Premium 2013
85993IDSS_2013_0F,Autodesk Infrastructure Design Suite Standard 2013
85994IDSU_2013_0F,Autodesk Infrastructure Design Suite Ultimate 2013
85995PDSPRM_2013_0F,Autodesk Plant Design Suite Premium 2013
85996PLTDSS_2013_0F,Autodesk Plant Design Suite Standard 2013
85997PDSADV_2013_0F,Autodesk Plant Design Suite Ultimate 2013
85998INVNTOR_2013_0F,Autodesk Inventor 2013
85999INVFPR_2013_0F,Autodesk Inventor Factory Premium 2013
86000INVFAD_2013_0F,Autodesk Inventor Factory Ultimate 2013
86001INVPROSA_2013_0F,Autodesk Inventor Professional 2013
86002INVOEM_2013_0F,Autodesk Inventor OEM 2013
86004INVLT_2013_0F,Autodesk Inventor LT 2013
86005RSA_2013_0F,Autodesk Robot Structural Analysis 2013
86006MFAM_2013_0F,Autodesk Simulation Moldflow Adviser Premium 2013
86007MFAA_2013_0F,Autodesk Simulation Moldflow Adviser Ultimate 2013
86008MFAD_2013_0F,Autodesk Simulation Moldflow Adviser Standard 2013
86009MFCD_2013_0F,Autodesk Simulation Moldflow CAD Doctor 2013
86010MFDL_2013_0F,Autodesk Simulation Moldflow Design Link 2013
86012MFS_2013_0F,Autodesk Simulation Moldflow Synergy 2013
86013INFMDR_2013_0F,Autodesk Infrastructure Modeler 2013
86014IMS_2013_0F,Autodesk Infrastructure Map Server 2013
86019MRSTND_2013_0F,mental ray Standalone 2013
86021ACDLTM_2013_0F,AutoCAD LT for Mac 2013
86022NAVMAN_2013_0F,Autodesk Navisworks Manage 2013
86023NAVSIM_2013_0F,Autodesk Navisworks Simulate 2013
86024AQTO_2013_0F,Autodesk Quantity Takeoff 2013
86025SCFD_2013_0F,Autodesk Simulation CFD 2013
86027UTLDESN_2013_0F,AutoCAD Utility Design 2013
86028SCFDA_2013_0F,Autodesk Simulation CFD 2013 Advanced
86030SCFDNX_2013_0F,Autodesk Simulation CFD 2013 Connection for NX
86032SCPROE_2013_0F,Autodesk Simulation CFD 2013 Connection for Pro/E
86034SCDSE_2013_0F,Autodesk Simulation CFD 2013 Design Study Environment
86036SCFDM_2013_0F,Autodesk Simulation CFD 2013 Motion
86038MFIP_2013_0F,Autodesk Simulation Moldflow Insight Premium 2013
86040MFIA_2013_0F,Autodesk Simulation Moldflow Insight Ultimate 2013
86042MFIB_2013_0F,Autodesk Simulation Moldflow Insight Standard 2013
86043ECSPE_2013_0F,Autodesk Entertainment Creation Suite Premium 2013 Exclusives
86043TRTLPB_2013_0F,Turtle For Maya Premium 2013
86044ECSSE_2013_0F,Autodesk Entertainment Creation Suite Standard 2013 Exclusives
86045SCACIS_2013_0F,Autodesk Simulation CFD 2013 Connection for ACIS
86047SCFDP_2013_0F,Autodesk Simulation CFD 2013 Connection for Parasolid
86049CADMEP_2013_0F,Autodesk Fabrication CADmep 2013
86056SIMDFM_2013_0F,Autodesk Simulation DFM 2013
86058MAYA_2014_0F,Autodesk Maya 2014
86058MAYAMMR1_2014_0F,Autodesk Maya Mental Ray 1 2014
86059T1MF_2013_0F,T1 Enterprise Multi-flex 2013
86061T1MFPV_2013_0F,T1 Enterprise Multi-flex Prior Version 2013
86063ACD_2014_0F,AutoCAD 2014
86064ACDLT_2014_0F,AutoCAD LT 2014
86067REVITS_2014_0F,AutoCAD Revit Architecture Suite 2014
86068RVTLTS_2014_0F,AutoCAD Revit LT Suite 2014
86069REVSYP_2014_0F,AutoCAD Revit MEP Suite 2014
86070REVSU_2014_0F,AutoCAD Revit Structure Suite 2014
86071BDSPRM_2014_0F,Autodesk Building Design Suite Premium 2014
86072BDSS_2014_0F,Autodesk Building Design Suite Standard 2014
86073BDSADV_2014_0F,Autodesk Building Design Suite Ultimate 2014
86074STRDET_2014_0F,AutoCAD Structural Detailing 2014
86075RVT_2014_0F,Autodesk Revit 2014
86076REVIT_2014_0F,Autodesk Revit Architecture 2014
86077RVTLT_2014_0F,Autodesk Revit LT 2014
86078RVTMPB_2014_0F,Autodesk Revit MEP 2014
86079REVITST_2014_0F,Autodesk Revit Structure 2014
860803DSMAX_2014_0F,Autodesk 3ds Max 2014
86081MAXDES_2014_0F,Autodesk 3ds Max Design 2014
86082AUTOST_2014_0F,Autodesk Alias Automotive 2014
86083DESNST_2014_0F,Autodesk Alias Design 2014
86084SURFST_2014_0F,Autodesk Alias Surface 2014
86086RSAPRO_2014_0F,Autodesk Robot Structural Analysis Professional 2014
86087ENCSU_2014_0F,Autodesk Entertainment Creation Suite Ultimate 2014
86090MXECSP_2014_0F,Autodesk 3ds Max Entertainment Creation Suite Premium 2014
86090SFTIMSIB_2014_0F,Autodesk Softimage 2014 SIBatch
86091MXECS_2014_0F,Autodesk 3ds Max Entertainment Creation Suite Standard 2014
86092MYECS_2014_0F,Autodesk Maya Entertainment Creation Suite Standard 2014
86093MYECSP_2014_0F,Autodesk Maya Entertainment Creation Suite Premium 2014
86095TRTLPB_2014_0F,Turtle For Maya Premium 2014
86099MOBPRO_2014_0F,Autodesk MotionBuilder 2014
86100MBXPRO_2014_0F,Autodesk Mudbox 2014
86101MRSTND_2014_0F,mental ray Standalone 2014
86102SFTIM_2014_0F,Autodesk Softimage 2014 
86104DES_ACA_2014_0F,Autodesk Design Academy 2014
86106PLTDSS_2014_0F,Autodesk Plant Design Suite Standard 2014
86107PDSADV_2014_0F,Autodesk Plant Design Suite Ultimate 2014
86108PDSPRM_2014_0F,Autodesk Plant Design Suite Premium 2014
86109PNID_2014_0F,AutoCAD P&ID 2014
86110PLNT3D_2014_0F,AutoCAD Plant 3D 2014
86112EMS_2014_0F,Autodesk Education Master Suite 2014
86114ASPRO_2014_0F,Autodesk Simulation Multiphysics 2014
86115ASMES_2014_0F,Autodesk Simulation Mechanical 2014
86116ASMES_F,Autodesk Simulation Mechanical Package
86117SHOWCASE_2014_0F,Autodesk Showcase 2014 
86118SHOWPRO_2014_0F,Autodesk Showcase Professional 2014
86119DSPRM_2014_0F,AutoCAD Design Suite Premium 2014
86120DSSTD_2014_0F,AutoCAD Design Suite Standard 2014
86121DSADV_2014_0F,AutoCAD Design Suite Ultimate 2014
86122ALSK_2014_0F,Autodesk Alias Sketch 2014
86123IDSP_2014_0F,Autodesk Infrastructure Design Suite Premium 2014
86124IDSS_2014_0F,Autodesk Infrastructure Design Suite Standard 2014
86125IDSU_2014_0F,Autodesk Infrastructure Design Suite Ultimate 2014
86126UTLDESN_2014_0F,Autodesk AutoCAD Utility Design 2014
86127INVLTS_2014_0F,AutoCAD Inventor LT Suite 2014
86128FDSPRM_2014_0F,Autodesk Factory Design Suite Premium 2014
86129FDSS_2014_0F,Autodesk Factory Design Suite Standard 2014
86130FDSADV_2014_0F,Autodesk Factory Design Suite Ultimate 2014
86131PDSP_2014_0F,Autodesk Product Design Suite Premium 2014
86132PDSS_2014_0F,Autodesk Product Design Suite Standard 2014
86133PDSU_2014_0F,Autodesk Product Design Suite Ultimate 2014
86135INVETO_2014_0F,Autodesk Inventor Engineer-to-Order Series 2014
86136INTSER_2014_0F,Autodesk Inventor Engineer-to-Order Server 2014
86137ARCHDESK_2014_0F,AutoCAD Architecture 2014
86138AMECH_PP_2014_0F,AutoCAD Mechanical 2014
86139BLDSYS_2014_0F,AutoCAD MEP 2014
86140ARDES_2014_0F,AutoCAD Raster Design 2014
86141SCFD_2014_0F,Autodesk Simulation CFD 2014
86142SCFDA_2014_0F,Autodesk Simulation CFD 2014 Advanced
86144SCFDNX_2014_0F,Autodesk Simulation CFD 2014 Connection for NX
86145SCFDP_2014_0F,Autodesk Simulation CFD 2014 Connection for Parasolid
86146SCPROE_2014_0F,Autodesk Simulation CFD 2014 Connection for Pro/E
86147SCDSE_2014_0F,Autodesk Simulation CFD 2014 Design Study Environment
86148SCFDM_2014_0F,Autodesk Simulation CFD 2014 Motion
86149ECSCAD_2014_0F,AutoCAD ecscad 2014
86150ACAD_E_2014_0F,AutoCAD Electrical 2014
86151SIMDFM_2014_0F,Autodesk Simulation DFM 2014
86152MFAA_2014_0F,Autodesk Simulation Moldflow Adviser Ultimate 2014
86153MFAM_2014_0F,Autodesk Simulation Moldflow Adviser Premium 2014
86154MFAD_2014_0F,Autodesk Simulation Moldflow Adviser Standard 2014
86155MFIP_2014_0F,Autodesk Simulation Moldflow Insight Premium 2014
86156MFIA_2014_0F,Autodesk Simulation Moldflow Insight Ultimate 2014
86157MFIB_2014_0F,Autodesk Simulation Moldflow Insight Standard 2014
86158MFS_2014_0F,Autodesk Simulation Moldflow Synergy 2014
86159INVNTOR_2014_0F,Autodesk Inventor 2014
86161INVLT_2014_0F,Autodesk Inventor LT 2014
86163INVPROSA_2014_0F,Autodesk Inventor Professional 2014
86166NAVMAN_2014_0F,Autodesk Navisworks Manage 2014
86167VLTC_2014_0F,Autodesk Vault Collaboration 2014
86168VTCAEC_2014_0F,Autodesk Vault Collaboration AEC 2014
86169PCOFFI_2014_0F,Autodesk Vault Office 2014
86170VLTM_2014_0F,Autodesk Vault Professional 2014
86171VLTWG_2014_0F,Autodesk Vault Workgroup 2014
86172NAVSIM_2014_0F,Autodesk Navisworks Simulate 2014
86173CIV3D_2014_0F,AutoCAD Civil 3D 2014
86174MAP_2014_0F,AutoCAD Map 3D 2014
86175INFMDR_2014_0F,Autodesk InfraWorks 2014
86176IMS_2014_0F,Autodesk Infrastructure Map Server 2014
86178CAMDCT_2014_0F,Autodesk Fabrication CAMduct 2014
86180INVPUB_2014_0F,Autodesk Inventor Publisher 2014
86181CAMLTE_2014_0F,Autodesk Fabrication CAMduct Components 2014
86184CADMEP_2014_0F,Autodesk Fabrication CADmep 2014
86185ESTMEP_2014_0F,Autodesk Fabrication ESTmep 2014
86187RMNTRY_2014_0F,Autodesk Fabrication RemoteEntry 2014
86189TRCKIT_2014_0F,Autodesk Fabrication Tracker 2014
86191T1MF_2014_0F,T1 Enterprise Multi-flex 2014
86193T1MFPV_2014_0F,T1 Enterprise Multi-flex Prior Version 2014
86197IMRH_2014_0F,Autodesk InfraWorks Roads & Highways 2014
86198FDU_2014_0F,Autodesk Factory Design Utilities 2014
86200SMKMAC_2014_0F,Autodesk Smoke 2014 for Mac OS X
86200SMKMACBRN_2014_0F,Autodesk Smoke 2014 for Mac OS X Burn
86200SMKMACWG_2014_0F,Autodesk Smoke Wiretap Gateway 2014
86201INVPUB_2013_1F,Autodesk Inventor Publisher 2013 R1
86202INVPUB_F,Autodesk Inventor Publisher Package
86207VRDDES_2014_0F,Autodesk VRED Design 2014
86208VRDPRO_2014_0F,Autodesk VRED Professional 2014
86213MAYA_2015_0F,Autodesk Maya 2015
86213MAYAMMR1_2015_0F,Autodesk Maya 2015 Mental Ray 1
86214TRTLPB_2015_0F,Turtle for Maya 2015
86221AUTOST_2015_0F,Autodesk Alias Automotive 2015
86222DESNST_2015_0F,Autodesk Alias Design 2015
86223SURFST_2015_0F,Autodesk Alias Surface 2015
86227DSPRM_2015_0F,Autodesk AutoCAD Design Suite Premium 2015
86228DSSTD_2015_0F,Autodesk AutoCAD Design Suite Standard 2015
86229DSADV_2015_0F,Autodesk AutoCAD Design Suite Ultimate 2015
86232ACDLTC_2015_0F,Autodesk AutoCAD LT Civil Suite 2015
86233INVLTS_2015_0F,Autodesk AutoCAD Inventor LT Suite 2015
86234REVITS_2015_0F,Autodesk AutoCAD Revit Architecture Suite 2015
86235RVTLTS_2015_0F,Autodesk AutoCAD Revit LT Suite 2015
86236REVSYP_2015_0F,Autodesk AutoCAD Revit MEP Suite 2015
86237REVSU_2015_0F,Autodesk AutoCAD Revit Structure Suite 2015
86238BDSPRM_2015_0F,Autodesk Building Design Suite Premium 2015
86241MXECSP_2015_0F,Autodesk 3ds Max Entertainment Creation Suite Premium 2015
86242MXECS_2015_0F,Autodesk 3ds Max Entertainment Creation Suite Standard 2015
86243ENCSU_2015_0F,Autodesk Entertainment Creation Suite Ultimate 2015
86244BDSS_2015_0F,Autodesk Building Design Suite Standard 2015
86245BDSADV_2015_0F,Autodesk Building Design Suite Ultimate 2015
86247EMS_2015_0F,Autodesk Education Master Suite 2015
86248ESEC_2015_0F,Autodesk Entertainment Creation Suite For Education 2015
86249FDSPRM_2015_0F,Autodesk Factory Design Suite Premium 2015
86250FDSS_2015_0F,Autodesk Factory Design Suite Standard 2015
86251FDSADV_2015_0F,Autodesk Factory Design Suite Ultimate 2015
86252IDSP_2015_0F,Autodesk Infrastructure Design Suite Premium 2015
86253IDSS_2015_0F,Autodesk Infrastructure Design Suite Standard 2015
86254IDSU_2015_0F,Autodesk Infrastructure Design Suite Ultimate 2015
86255INVETO_2015_0F,Autodesk Inventor Engineer-to-Order Series 2015
86257MYECS_2015_0F,Autodesk Maya Entertainment Creation Suite Standard 2015
86258PDSPRM_2015_0F,Autodesk Plant Design Suite Premium 2015
86259PLTDSS_2015_0F,Autodesk Plant Design Suite Standard 2015
86260PDSADV_2015_0F,Autodesk Plant Design Suite Ultimate 2015
86261ESME_2015_0F,Autodesk Product Design Suite for Education 2015
862623DSMAX_2015_0F,Autodesk 3ds Max 2015
86263MAXDES_2015_0F,Autodesk 3ds Max Design 2015
86264MOBPRO_2015_0F,Autodesk MotionBuilder 2015
86265MBXPRO_2015_0F,Autodesk Mudbox 2015
86266PDSP_2015_0F,Autodesk Product Design Suite Premium 2015
86267PDSS_2015_0F,Autodesk Product Design Suite Standard 2015
